Date,Team,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Sk,Yds,Sk%,NY/A,ANY/A,Att,Yds,TD,Lng,Y/A,Fmb
2026-01-25,SEA,,LAR,W 31-27,25,36,69.4,346,3,8.3,0,0,51,9.6,11.28,13.8,127.8,3,25,7.69,8.23,9.77,3,9,0,14,3,1
2026-01-17,SEA,,SFO,W 41-6,12,17,70.6,124,1,5.9,0,0,21,7.3,8.47,10.3,110.9,2,18,10.53,5.58,6.63,0,0,0,0,,0
2026-01-03,SEA,@,SFO,W 13-3,20,26,76.9,198,0,0,0,0,24,7.6,7.62,9.9,97.9,2,17,7.14,6.46,6.46,6,9,0,6,1.5,1
2025-12-28,SEA,@,CAR,W 27-10,18,27,66.7,147,1,3.7,1,3.7,18,5.4,4.52,8.2,77.2,3,22,10,4.17,3.33,3,2,0,3,0.7,2
2025-12-18,SEA,,LAR,W 38-37 (OT),22,34,64.7,270,2,5.9,2,5.9,46,7.9,6.47,12.3,84.2,4,26,10.53,6.42,5.11,3,7,0,4,2.3,0
2025-12-14,SEA,,IND,W 18-16,22,36,61.1,271,0,0,0,0,39,7.5,7.53,12.3,84.4,1,7,2.7,7.14,7.14,4,5,0,4,1.3,1
2025-12-07,SEA,@,ATL,W 37-9,20,30,66.7,249,3,10,1,3.3,33,8.3,8.8,12.5,111.7,2,13,6.25,7.38,7.84,3,23,0,12,7.7,0
2025-11-30,SEA,,MIN,W 26-0,14,26,53.8,128,0,0,0,0,21,4.9,4.92,9.1,67.5,4,34,13.33,3.13,3.13,0,0,0,0,,2
2025-11-23,SEA,@,TEN,W 30-24,16,26,61.5,244,2,7.7,0,0,63,9.4,10.92,15.3,118.1,1,5,3.7,8.85,10.33,1,-1,0,-1,-1,0
2025-11-16,SEA,@,LAR,L 19-21,29,44,65.9,279,0,0,4,9.1,28,6.3,2.25,9.6,45.5,0,0,0,6.34,2.25,2,11,0,8,5.5,0
2025-11-09,SEA,,ARI,W 44-22,10,12,83.3,178,1,8.3,1,8.3,67,14.8,12.75,17.8,111.8,1,4,7.69,13.38,11.46,3,-2,0,0,-0.7,2
2025-11-02,SEA,@,WAS,W 38-14,21,24,87.5,330,4,16.7,1,4.2,60,13.8,15.21,15.7,141,0,0,0,13.75,15.21,0,0,0,0,,0
2025-10-20,SEA,,HOU,W 27-19,17,31,54.8,213,1,3.2,1,3.2,32,6.9,6.06,12.5,73.7,2,15,6.06,6,5.24,3,1,0,3,0.3,1
2025-10-12,SEA,@,JAX,W 20-12,16,27,59.3,295,2,7.4,0,0,61,10.9,12.41,18.4,121.7,1,9,3.57,10.21,11.64,4,2,0,6,0.5,0
2025-10-05,SEA,,TAM,L 35-38,28,34,82.4,341,4,11.8,1,2.9,53,10,11.06,12.2,135.4,0,0,0,10.03,11.06,0,0,0,0,,0
2025-09-25,SEA,@,ARI,W 23-20,18,26,69.2,242,1,3.8,0,0,36,9.3,10.08,13.4,111.4,3,13,10.34,7.9,8.59,1,24,0,24,24,1
2025-09-21,SEA,,NOR,W 44-13,14,18,77.8,218,2,11.1,0,0,45,12.1,14.33,15.6,154.2,0,0,0,12.11,14.33,0,0,0,0,,0
2025-09-14,SEA,@,PIT,W 31-17,22,33,66.7,295,2,6.1,2,6.1,43,8.9,7.42,13.4,89.8,2,17,5.71,7.94,6.51,0,0,0,0,,0
2025-09-07,SEA,,SFO,L 13-17,16,23,69.6,150,0,0,0,0,40,6.5,6.52,9.4,87.2,1,4,4.17,6.08,6.08,2,14,0,9,7,1
